Rk,Player,Tm,FantPos,Age,G,PassCmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecievingTD,FL,TotTD,FantPt,PPR
1,Jonathan Taylor*+,IND,RB,22,17,0,0,0,0,0,332,1811,5.45,18,51,40,360,9,2,2,20,333,373.1
2,Cooper Kupp*+,LAR,WR,28,17,0,1,0,0,0,4,18,4.5,0,191,145,1947,13.43,16,0,16,295,439.5
3,Deebo Samuel*+,SFO,WR,25,16,1,2,24,1,0,59,365,6.19,8,121,77,1405,18.25,6,2,14,262,339
4,Josh Allen,BUF,QB,25,17,409,646,4407,36,15,122,763,6.25,6,0,0,0,,0,3,6,403,402.6
5,Austin Ekeler,LAC,RB,26,16,0,0,0,0,0,206,911,4.42,12,94,70,647,9.24,8,3,20,274,343.8
6,Justin Herbert*,LAC,QB,23,17,443,672,5014,38,15,63,302,4.79,3,0,0,0,,0,1,3,381,380.8
7,Tom Brady*,TAM,QB,44,17,485,719,5316,43,12,28,81,2.89,2,0,0,0,,0,3,2,375,374.7
8,Ja'Marr Chase*,CIN,WR,21,17,0,0,0,0,0,7,21,3,0,128,81,1455,17.96,13,1,13,224,304.6
9,Mark Andrews*+,BAL,TE,26,17,0,0,0,0,0,1,0,0,0,153,107,1361,12.72,9,0,9,194,301.1
10,Justin Jefferson*,MIN,WR,22,17,2,4,35,0,0,6,14,2.33,0,167,108,1616,14.96,10,1,10,222,330.4
11,Joe Mixon*,CIN,RB,25,16,0,0,0,0,0,292,1205,4.13,13,48,42,314,7.48,3,1,16,246,287.9
12,Davante Adams*+,GNB,WR,29,16,0,0,0,0,0,0,0,,0,169,123,1553,12.63,11,0,11,221,344.3
13,Patrick Mahomes*,KAN,QB,26,17,436,658,4839,37,13,66,381,5.77,2,0,0,0,,0,4,2,362,361.7
14,Najee Harris*,PIT,RB,23,17,0,0,0,0,0,307,1200,3.91,7,94,74,467,6.31,3,0,10,227,300.7
15,Travis Kelce*,KAN,TE,32,16,0,0,0,0,0,2,3,1.5,1,134,92,1125,12.23,9,1,10,171,262.8
16,James Conner*,ARI,RB,26,15,0,0,0,0,0,202,752,3.72,15,39,37,375,10.14,3,0,18,221,257.7
17,Mike Evans*,TAM,WR,28,16,0,0,0,0,0,1,10,10,0,114,74,1035,13.99,14,0,14,189,262.5
18,Aaron Rodgers*+,GNB,QB,38,16,366,531,4115,37,4,33,101,3.06,3,1,1,-4,-4,0,0,3,332,333.3
19,Tyreek Hill*,KAN,WR,27,17,0,0,0,0,0,9,96,10.67,0,159,111,1239,11.16,9,1,9,186,296.5
20,Matthew Stafford,LAR,QB,33,17,404,601,4886,41,17,32,43,1.34,0,0,0,0,,0,2,0,330,329.7
21,Stefon Diggs*,BUF,WR,28,17,0,0,0,0,0,0,0,,0,164,103,1225,11.89,10,0,10,183,285.5
22,Ezekiel Elliott,DAL,RB,26,17,1,1,4,0,0,237,1002,4.23,10,65,47,287,6.11,2,1,12,205,252.1
23,Dak Prescott,DAL,QB,28,16,410,596,4449,37,10,48,146,3.04,1,0,0,0,,0,6,1,321,320.6
24,Nick Chubb*,CLE,RB,26,14,0,0,0,0,0,228,1259,5.52,8,25,20,174,8.7,1,1,9,195,215.3
25,Mike Williams,LAC,WR,27,16,0,0,0,0,0,0,0,,0,129,76,1146,15.08,9,0,9,171,246.6
26,D.K. Metcalf,SEA,WR,24,17,0,0,0,0,0,1,6,6,0,129,75,967,12.89,12,0,12,169,244.3
27,Tyler Lockett,SEA,WR,29,16,0,0,0,0,0,2,9,4.5,0,107,73,1175,16.1,8,0,8,168,241.4
28,Joe Burrow,CIN,QB,25,16,366,520,4611,34,14,40,118,2.95,2,0,0,0,,0,2,2,314,314.2
29,Damien Harris,NWE,RB,24,15,0,0,0,0,0,202,929,4.6,15,21,18,132,7.33,0,2,15,192,210.1
30,Diontae Johnson*,PIT,WR,25,16,0,0,0,0,0,5,53,10.6,0,169,107,1161,10.85,8,2,8,167,274.4
31,Jalen Hurts,PHI,QB,23,15,265,432,3144,16,9,139,784,5.64,10,1,0,0,,0,2,10,312,312.2
32,Alvin Kamara*,NOR,RB,26,13,0,0,0,0,0,240,898,3.74,4,67,47,439,9.34,5,0,9,188,234.7
33,Antonio Gibson,WAS,RB,23,16,0,0,0,0,0,258,1037,4.02,7,52,42,294,7,3,4,10,187,229.1
34,Leonard Fournette,TAM,RB,26,14,0,1,0,0,0,180,812,4.51,8,84,69,454,6.58,2,0,10,187,255.6
35,Dalton Schultz,DAL,TE,25,17,0,0,0,0,0,0,0,,0,104,78,808,10.36,8,0,8,131,208.8
36,Cordarrelle Patterson,ATL,RB,30,16,0,1,0,0,0,153,618,4.04,6,69,52,548,10.54,5,0,11,183,234.6
37,George Kittle*,SFO,TE,28,14,0,0,0,0,0,3,20,6.67,0,94,71,910,12.82,6,1,6,127,198
38,Hunter Renfrow*,LVR,WR,26,17,0,0,0,0,0,3,3,1,0,128,103,1038,10.08,9,1,9,156,259.1
39,Kyler Murray*,ARI,QB,24,14,333,481,3787,24,10,88,423,4.81,5,0,0,7,,0,0,5,300,300.5
