Player,Rushing Yards,Receiving Yards,Passing Yards,Total TD,Fantasy Points,Games Played,Position,Yards_from_Scrimmage,Total_Yards,Avg_TD,Avg_Yards_from_Scrimmage,Avg_Passing_Yards,Avg_Total_Yards
A.J. Brown,70.0,4491,0.0,21.0,673,60,WR,4561.0,4561.0,0.35,76.01666666666667,0.0,76.01666666666667
A.J. Green,0.0,1371,0.0,2.0,167,32,WR,1371.0,1371.0,0.0625,42.84375,0.0,42.84375
AJ Dillon,803.0,519,0.0,0.0,292,34,RB,1322.0,1322.0,0.0,38.88235294117647,0.0,38.88235294117647
Aaron Jones,2987.0,1615,0.0,30.0,845,62,RB,4602.0,4602.0,0.4838709677419355,74.2258064516129,0.0,74.2258064516129
Aaron Rodgers,433.0,-10,7994.0,4.0,1231,65,QB,423.0,8417.0,0.06153846153846154,6.507692307692308,122.98461538461538,129.4923076923077
Adam Thielen,23.0,2785,0.0,21.0,507,55,WR,2808.0,2808.0,0.38181818181818183,51.054545454545455,0.0,51.054545454545455
Adrian Peterson,1502.0,243,0.0,12.0,243,31,RB,1745.0,1745.0,0.3870967741935484,56.29032258064516,0.0,56.29032258064516
Alec Pierce,0.0,593,0.0,0.0,71,16,WR,593.0,593.0,0.0,37.0625,0.0,37.0625
Alex Collins,411.0,87,0.0,0.0,60,11,RB,498.0,498.0,0.0,45.27272727272727,0.0,45.27272727272727
Alex Smith,3.0,0,1582.0,0.0,72,8,QB,3.0,1585.0,0.0,0.375,197.75,198.125
Alexander Mattison,1387.0,526,0.0,4.0,299,59,RB,1913.0,1913.0,0.06779661016949153,32.42372881355932,0.0,32.42372881355932
Allen Lazard,70.0,2229,0.0,6.0,351,56,WR,2299.0,2299.0,0.10714285714285714,41.05357142857143,0.0,41.05357142857143
Allen Robinson,1.0,2397,0.0,13.0,318,32,WR,2398.0,2398.0,0.40625,74.9375,0.0,74.9375
Alshon Jeffery,2.0,490,0.0,5.0,79,10,WR,492.0,492.0,0.5,49.2,0.0,49.2
Alvin Kamara,2627.0,2218,0.0,27.0,806,57,RB,4845.0,4845.0,0.47368421052631576,85.0,0.0,85.0
